genotype	Flowering_date	Flowering_date_log10	Plant_height	Plant_height_log10	Plant_width	Plant_width_log10	Stem_number	Stem_number_log10	Fresh_weight	Fresh_weight_log10
Aa4487_7	45	1.653212514	50	1.698970004	75	1.875061263	37	1.568201724	186.4	2.270445908
Aa4487_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4515_1	45	1.653212514	38	1.579783597	70	1.84509804	22	1.342422681	64.9	1.812244697
Aa4515_2	66	1.819543936	40	1.602059991	100	2	126	2.100370545	405.6	2.608097946
Aa4515_3	45	1.653212514	36	1.556302501	80	1.903089987	117	2.068185862	909.8	2.958945932
Aa4515_4	48.5	1.685741739	37	1.568201724	50	1.698970004	70	1.84509804	242.7	2.385069776
Aa4515_5	59	1.770852012	30	1.477121255	80	1.903089987	32	1.505149978	277.5	2.443262987
Aa4515_6	45	1.653212514	38	1.579783597	60	1.77815125	86	1.934498451	135.3	2.131297797
Aa4515_7	55.5	1.744292983	47	1.672097858	100	2	150	2.176091259	888.2	2.948510769
Aa4515_8	48.5	1.685741739	33	1.51851394	75	1.875061263	99	1.995635195	534.8	2.728191399
Aa4517_1	66	1.819543936	20	1.301029996	38	1.579783597	20	1.301029996	10	1
Aa4517_2	100	2	21	1.322219295	30	1.477121255	2	0.301029996	2	0.301029996
Aa4517_3	69.5	1.841984805	30	1.477121255	50	1.698970004	6	0.77815125	10	1
Aa4517_4	69.5	1.841984805	21	1.322219295	45	1.653212514	5	0.698970004	4	0.602059991
Aa4517_5	59	1.770852012	21	1.322219295	35	1.544068044	5	0.698970004	3	0.477121255
Aa4517_6	80	1.903089987	8	0.903089987	38	1.579783597	15	1.176091259	10	1
Aa4517_7	73	1.86332286	26	1.414973348	35	1.544068044	5	0.698970004	16	1.204119983
Aa4517_8	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
Aa4519_1	45	1.653212514	30	1.477121255	50	1.698970004	19	1.278753601	31.5	1.498310554
Aa4519_2	48.5	1.685741739	30	1.477121255	55	1.740362689	30	1.477121255	32	1.505149978
Aa4519_3	62.5	1.795880017	45	1.653212514	80	1.903089987	32	1.505149978	61.8	1.790988475
Aa4519_4	59	1.770852012	45	1.653212514	65	1.812913357	35	1.544068044	91	1.959041392
Aa4519_5	69.5	1.841984805	34	1.531478917	40	1.602059991	37	1.568201724	39.8	1.599883072
Aa4519_6	59	1.770852012	40	1.602059991	50	1.698970004	45	1.653212514	45.8	1.660865478
Aa4519_7	59	1.770852012	22	1.342422681	60	1.77815125	5	0.698970004	14.2	1.152288344
Aa4519_8	59	1.770852012	19	1.278753601	30	1.477121255	18	1.255272505	28.6	1.456366033
Aa4522_1	59	1.770852012	30	1.477121255	55	1.740362689	6	0.77815125	11.51	1.061075324
Aa4522_2	55.5	1.744292983	22	1.342422681	65	1.812913357	57	1.755874856	198.1	2.296884476
Aa4522_3	55.5	1.744292983	40	1.602059991	75	1.875061263	60	1.77815125	163.7	2.214048679
Aa4522_4	62.5	1.795880017	35	1.544068044	42	1.62324929	30	1.477121255	45.4	1.657055853
Aa4522_5	62.5	1.795880017	25	1.397940009	70	1.84509804	40	1.602059991	59.7	1.775974331
Aa4522_6	27.5	1.439332694	31	1.491361694	66	1.819543936	27	1.431363764	35.8	1.553883027
Aa4522_7	45	1.653212514	30	1.477121255	57	1.755874856	25	1.397940009	47.2	1.673941999
Aa4522_8	45	1.653212514	24	1.380211242	62	1.792391689	34	1.531478917	144.8	2.160768562
Aa4523_1	45	1.653212514	40	1.602059991	65	1.812913357	45	1.653212514	123	2.089905111
Aa4523_2	45	1.653212514	38	1.579783597	75	1.875061263	65	1.812913357	115	2.06069784
Aa4523_3	41.5	1.618048097	42	1.62324929	90	1.954242509	121	2.08278537	202	2.305351369
Aa4523_4	48.5	1.685741739	50	1.698970004	100	2	157	2.195899652	376	2.575187845
Aa4523_5	55.5	1.744292983	20	1.301029996	80	1.903089987	15	1.176091259	66	1.819543936
Aa4523_6	69.5	1.841984805	20	1.301029996	40	1.602059991	23	1.361727836	42	1.62324929
Aa4523_7	69.5	1.841984805	25	1.397940009	40	1.602059991	12	1.079181246	19	1.278753601
Aa4523_8	66	1.819543936	55	1.740362689	80	1.903089987	38	1.579783597	91	1.959041392
Aa4525_1	66	1.819543936	18	1.255272505	47	1.672097858	62	1.792391689	98.8	1.994756945
Aa4525_2	62.5	1.795880017	35	1.544068044	67	1.826074803	194	2.28780173	270.4	2.432006687
Aa4525_3	66	1.819543936	15	1.176091259	90	1.954242509	71	1.851258349	399.7	2.601734148
Aa4525_4	80	1.903089987	12	1.079181246	60	1.77815125	39	1.591064607	99	1.995635195
Aa4525_5	73	1.86332286	30	1.477121255	80	1.903089987	114	2.056904851	358.1	2.554004321
Aa4525_6	48.5	1.685741739	32	1.505149978	75	1.875061263	215	2.33243846	361.1	2.557627488
Aa4525_7	66	1.819543936	30	1.477121255	60	1.77815125	131	2.117271296	141.7	2.15136985
Aa4525_8	48.5	1.685741739	33	1.51851394	80	1.903089987	53	1.72427587	148	2.170261715
Aa4554_1	62.5	1.795880017	60	1.77815125	17	1.230448921	45	1.653212514	254.7	2.406028945
Aa4554_10	66	1.819543936	60	1.77815125	100	2	10	1	127	2.103803721
Aa4554_11	66	1.819543936	52	1.716003344	35	1.544068044	47	1.672097858	592.5	2.772688355
Aa4554_12	69.5	1.841984805	60	1.77815125	70	1.84509804	50	1.698970004	196	2.292256071
Aa4554_13	62.5	1.795880017	40	1.602059991	50	1.698970004	14	1.146128036	114.6	2.059184618
Aa4554_14	66	1.819543936	30	1.477121255	95	1.977723605	44	1.643452676	90.2	1.955206538
Aa4554_15	80	1.903089987	52	1.716003344	20	1.301029996	16	1.204119983	240.2	2.380573003
Aa4554_16	69.5	1.841984805	50	1.698970004	70	1.84509804	21	1.322219295	255.4	2.407220893
Aa4554_2	66	1.819543936	72	1.857332496	16	1.204119983	29	1.462397998	268.1	2.428296814
Aa4554_3	62.5	1.795880017	65	1.812913357	23	1.361727836	83	1.919078092	590.5	2.771219902
Aa4554_4	62.5	1.795880017	71	1.851258349	20	1.301029996	15	1.176091259	350	2.544068044
Aa4554_5	59	1.770852012	75	1.875061263	11	1.041392685	44	1.643452676	326	2.5132176
Aa4554_6	62.5	1.795880017	52	1.716003344	19	1.278753601	41	1.612783857	282.5	2.451018452
Aa4554_7	66	1.819543936	60	1.77815125	16	1.204119983	61	1.785329835	529.3	2.723701894
Aa4554_8	62.5	1.795880017	70	1.84509804	20	1.301029996	49	1.69019608	651.9	2.814180981
Aa4554_9	59	1.770852012	60	1.77815125	85	1.929418926	83	1.919078092	458.4	2.661244609
Aa4939_1	80	1.903089987	21	1.322219295	50	1.698970004	95	1.977723605	201.5	2.30427505
Aa4939_10	80	1.903089987	35	1.544068044	55	1.740362689	151	2.178976947	327.1	2.514680544
Aa4939_12	100	2	20	1.301029996	25	1.397940009	91	1.959041392	70.9	1.850646235
Aa4939_13	80	1.903089987	43	1.633468456	75	1.875061263	92	1.963787827	625.8	2.796435559
Aa4939_14	80	1.903089987	39	1.591064607	50	1.698970004	24	1.380211242	135.8	2.13289977
Aa4939_15	100	2	32	1.505149978	55	1.740362689	143	2.155336037	369.2	2.567261692
Aa4939_16	80	1.903089987	32	1.505149978	55	1.740362689	61	1.785329835	134.5	2.128722284
Aa4939_2	80	1.903089987	50	1.698970004	115	2.06069784	179	2.252853031	1551	3.190611798
Aa4939_3	80	1.903089987	47	1.672097858	100	2	140	2.146128036	1052.8	3.022345876
Aa4939_4	80	1.903089987	40	1.602059991	85	1.929418926	107	2.029383778	499.3	2.698361566
Aa4939_5	80	1.903089987	49	1.69019608	90	1.954242509	117	2.068185862	891.3	2.950023907
Aa4939_6	80	1.903089987	40	1.602059991	75	1.875061263	129	2.11058971	798.7	2.902383684
Aa4939_7	100	2	33	1.51851394	75	1.875061263	32	1.505149978	118.4	2.073351702
Aa4939_8	80	1.903089987	42	1.62324929	110	2.041392685	213	2.328379603	1156.6	3.063183188
Aa4939_9	100	2	31	1.491361694	40	1.602059991	29	1.462397998	78.1	1.892651034
Aa4940_1	73	1.86332286	36	1.556302501	110	2.041392685	156	2.193124598	1562.1	3.193708832
Aa4940_10	73	1.86332286	50	1.698970004	100	2	135	2.130333768	1448	3.160768562
Aa4940_11	80	1.903089987	40	1.602059991	80	1.903089987	123	2.089905111	934	2.970346876
Aa4940_12	100	2	40	1.602059991	95	1.977723605	113	2.053078443	1151	3.061075324
Aa4940_13	80	1.903089987	45	1.653212514	75	1.875061263	176	2.245512668	1047	3.019946682
Aa4940_14	100	2	40	1.602059991	110	2.041392685	125	2.096910013	1636	3.213783299
Aa4940_16	80	1.903089987	43	1.633468456	75	1.875061263	81	1.908485019	652	2.814247596
Aa4940_2	69.5	1.841984805	40	1.602059991	100	2	150	2.176091259	1618.9	3.209220023
Aa4940_3	80	1.903089987	45	1.653212514	100	2	165	2.217483944	1615.3	3.208253193
Aa4940_4	80	1.903089987	43	1.633468456	125	2.096910013	143	2.155336037	1679.1	3.225076562
Aa4940_5	73	1.86332286	38	1.579783597	81	1.908485019	89	1.949390007	394	2.595496222
Aa4940_6	100	2	34	1.531478917	85	1.929418926	146	2.164352856	1232.6	3.090822163
Aa4940_7	100	2	36	1.556302501	120	2.079181246	170	2.230448921	2075.1	3.31703903
Aa4940_8	73	1.86332286	30	1.477121255	115	2.06069784	142	2.152288344	1390.4	3.143139759
Aa4940_9	80	1.903089987	48	1.681241237	90	1.954242509	187	2.271841607	1258	3.099680641
S543_1	69.5	1.841984805	68	1.832508913	20	1.301029996	78	1.892094603	1168.9	3.067777359
S543_10	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
S543_11	66	1.819543936	40	1.602059991	30	1.477121255	61	1.785329835	795.8	2.900803935
S543_12	62.5	1.795880017	45	1.653212514	25	1.397940009	67	1.826074803	798.6	2.902329306
S543_13	66	1.819543936	45	1.653212514	15	1.176091259	63	1.799340549	322	2.507855872
S543_14	73	1.86332286	50	1.698970004	20	1.301029996	18	1.255272505	259.2	2.413634997
S543_15	100	2	48	1.681241237	13	1.113943352	15	1.176091259	147	2.167317335
S543_16	69.91141732	1.830167253	38.67735471	1.554683041	47.85571142	1.600288068	49.11044177	1.483089826	304.2541616	2.107640136
S543_2	66	1.819543936	68	1.832508913	18	1.255272505	51	1.707570176	881	2.944975908
S543_3	69.5	1.841984805	53	1.72427587	15	1.176091259	49	1.69019608	316.4	2.500236475
S543_4	66	1.819543936	62	1.792391689	18	1.255272505	92	1.963787827	901.9	2.955158387
S543_5	66	1.819543936	65	1.812913357	23	1.361727836	40	1.602059991	477.9	2.679337031
S543_6	66	1.819543936	68	1.832508913	26	1.414973348	92	1.963787827	1099.8	3.041313715
S543_7	66	1.819543936	38	1.579783597	17	1.230448921	27	1.431363764	83.5	1.921686475
S543_8	62.5	1.795880017	47	1.672097858	25	1.397940009	38	1.579783597	332.9	2.522313795
S543_9	59	1.770852012	42	1.62324929	26	1.414973348	48	1.681241237	266.7	2.426023016
